2023-10-20 11:34:07,920 - INFO - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2023-10-20 11:34:07,921 - INFO - Added job "my_job" to job store "default"
2023-10-20 11:34:07,921 - INFO - Scheduler started
2023-10-20 11:34:07,939 - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2023-10-20 11:34:07,939 - INFO - [33mPress CTRL+C to quit[0m
2023-10-20 11:34:07,940 - INFO -  * Restarting with stat
2023-10-20 11:34:12,043 - INFO - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2023-10-20 11:34:12,044 - INFO - Added job "my_job" to job store "default"
2023-10-20 11:34:12,046 - INFO - Scheduler started
2023-10-20 11:34:12,053 - WARNING -  * Debugger is active!
2023-10-20 11:34:12,054 - INFO -  * Debugger PIN: 472-615-425
2023-10-20 11:34:13,813 - INFO - 127.0.0.1 - - [20/Oct/2023 11:34:13] "GET / HTTP/1.1" 200 -
2023-10-20 11:34:14,377 - INFO - 127.0.0.1 - - [20/Oct/2023 11:34:14] "GET /video_feed HTTP/1.1" 200 -
2023-10-20 11:35:37,921 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:35:47 +0530)" (scheduled at 2023-10-20 11:35:37.920862+05:30)
2023-10-20 11:35:37,937 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:35:47 +0530)" executed successfully
2023-10-20 11:35:42,051 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:35:52 +0530)" (scheduled at 2023-10-20 11:35:42.043016+05:30)
2023-10-20 11:35:42,051 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:35:52 +0530)" executed successfully
2023-10-20 11:35:47,928 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:35:57 +0530)" (scheduled at 2023-10-20 11:35:47.920862+05:30)
2023-10-20 11:35:47,928 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:35:57 +0530)" executed successfully
2023-10-20 11:35:52,050 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:36:02 +0530)" (scheduled at 2023-10-20 11:35:52.043016+05:30)
2023-10-20 11:35:52,053 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:36:02 +0530)" executed successfully
2023-10-20 11:35:57,929 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:36:07 +0530)" (scheduled at 2023-10-20 11:35:57.920862+05:30)
2023-10-20 11:35:57,929 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:36:07 +0530)" executed successfully
2023-10-20 11:36:02,053 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:36:12 +0530)" (scheduled at 2023-10-20 11:36:02.043016+05:30)
2023-10-20 11:36:02,053 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:36:12 +0530)" executed successfully
2023-10-20 11:36:07,934 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:36:17 +0530)" (scheduled at 2023-10-20 11:36:07.920862+05:30)
2023-10-20 11:36:07,934 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:36:17 +0530)" executed successfully
2023-10-20 11:36:12,050 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:36:22 +0530)" (scheduled at 2023-10-20 11:36:12.043016+05:30)
2023-10-20 11:36:12,050 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:36:22 +0530)" executed successfully
2023-10-20 11:36:17,927 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:36:27 +0530)" (scheduled at 2023-10-20 11:36:17.920862+05:30)
2023-10-20 11:36:17,939 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:36:27 +0530)" executed successfully
2023-10-20 11:36:22,053 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:36:32 +0530)" (scheduled at 2023-10-20 11:36:22.043016+05:30)
2023-10-20 11:36:22,064 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:36:32 +0530)" executed successfully
2023-10-20 11:36:27,930 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:36:37 +0530)" (scheduled at 2023-10-20 11:36:27.920862+05:30)
2023-10-20 11:36:27,943 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:36:37 +0530)" executed successfully
2023-10-20 11:36:32,049 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:36:42 +0530)" (scheduled at 2023-10-20 11:36:32.043016+05:30)
2023-10-20 11:36:32,063 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:36:42 +0530)" executed successfully
2023-10-20 11:36:37,926 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:36:47 +0530)" (scheduled at 2023-10-20 11:36:37.920862+05:30)
2023-10-20 11:36:37,933 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:36:47 +0530)" executed successfully
2023-10-20 11:36:42,049 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:36:52 +0530)" (scheduled at 2023-10-20 11:36:42.043016+05:30)
2023-10-20 11:36:42,063 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:36:52 +0530)" executed successfully
2023-10-20 11:36:47,927 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:36:57 +0530)" (scheduled at 2023-10-20 11:36:47.920862+05:30)
2023-10-20 11:36:47,938 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:36:57 +0530)" executed successfully
2023-10-20 11:36:52,045 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:37:02 +0530)" (scheduled at 2023-10-20 11:36:52.043016+05:30)
2023-10-20 11:36:52,056 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:37:02 +0530)" executed successfully
2023-10-20 11:36:57,925 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:37:07 +0530)" (scheduled at 2023-10-20 11:36:57.920862+05:30)
2023-10-20 11:36:57,936 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:37:07 +0530)" executed successfully
2023-10-20 11:37:02,050 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:37:12 +0530)" (scheduled at 2023-10-20 11:37:02.043016+05:30)
2023-10-20 11:37:02,061 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:37:12 +0530)" executed successfully
2023-10-20 11:37:07,927 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:37:17 +0530)" (scheduled at 2023-10-20 11:37:07.920862+05:30)
2023-10-20 11:37:07,934 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:37:17 +0530)" executed successfully
2023-10-20 11:37:12,055 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:37:22 +0530)" (scheduled at 2023-10-20 11:37:12.043016+05:30)
2023-10-20 11:37:12,065 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:37:22 +0530)" executed successfully
2023-10-20 11:37:17,923 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:37:27 +0530)" (scheduled at 2023-10-20 11:37:17.920862+05:30)
2023-10-20 11:37:17,934 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:37:27 +0530)" executed successfully
